Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash
140,Kansas State,Ardis & Sand,1216.9917600004935,99.12319909704318,20,1415.23815819458,34ce1cc0604541fd1daccbe6ee4a4c761124c986ef5910175ae2a511991dcc4a
141,Northwestern,LippSmith & Olorunsola,1205.8296491626265,95.28213749662068,21,1396.3939241558678,882d5afd232e8fe818c7570512d89f1210246896b0d37b8464d2d5e2f6c34161
142,Iowa,Larsen & Severson,1205.4644786190895,157.43658199324628,8,1520.337642605582,d99a520e4a85042133467089e58b4d2a140ab274212bbef28df0828e72192a39
143,Wake Forest,Mbye & Peters,1201.4675603136893,109.35111710842672,18,1420.1697945305427,bab2d8bf33ae0a4afb8069a3f05d3364066f57f4098943eb31b5f863edd72b39
144,Liberty,Etienne & Yoon,1200.6598385112663,174.3534606707078,7,1549.366759852682,2e5d053bb5eca09b3667f140d3c245a58124a41cf72a4f933f4f50ed24bf0df2
145,Kentucky,Ervin & Rushing,1198.1441131864888,111.60266848389519,14,1421.349450154279,b0758820a4446e591dd02f2ef4343b8a601118ead6ce43bafc43d1e027ed6615
146,Houston,Fernandez & Sheffield,1193.489543548539,157.12284039141312,7,1507.735224331365,430f7dbe303cd6a64f60ff25b6355bc4fd0a6186bd4dfa72dbb18ac97ed3e707
147,Emory,Charabuddi & Feldman,1193.3956602306325,142.41958185745085,8,1478.2348239455341,efa4388ed40b58658f2e9560b93d51ca263b05a150a514ae8eb5cb2c53a84c4b
148,Minnesota,Munson & Wells,1191.8732450071482,153.01532267658277,6,1497.9038903603137,cdf26bd78e68f545fedef5b469fcf47504a20c7d4df633ff38ecc336697bd1af
149,Trinity,King & Patterson,1179.3431375677576,96.77382524682002,22,1372.8907880613976,f6597d86f51bd0571e63dfa7769f09568b4183b5cd9e554c2cdd2b54124b6804
150,Rochester,Jones & Mbaye,1172.4542626232296,161.75427765082193,6,1495.9628179248734,38edbca50b28ab1d6efc37ca0ef2b0a2511134b56bb21ac3a0a99845a8c9ee5c
151,Liberty,Layton & Spencer,1171.6490158607637,156.60594449584448,6,1484.8609048524527,0b8ce4ad24355742697e5cf857c3d4be774e7ea37370b8b22526e1dfbbf59cec
152,Kansas State,Day & Raines,1169.8815401995603,114.73671632350784,14,1399.354972846576,76bd07f3c93dd8a6d9e798c4db36e523116dae4900fd223094b1ccc387315348
153,Towson,Darden & Persaud,1167.8013164021274,112.87631120208036,15,1393.5539388062882,d25a4a123b84a5475d4c52923463777de811aac6c861122802d7cff67c4d4839
154,UC Berkeley,Liu & Smith,1164.638600545028,135.8465544737731,8,1436.3317094925742,d68ffb6fa58845a3e0d53997af9126a68c051e52221d2a0238547aec740d7bdd
155,Arizona State,Saxena & Smith,1164.0347026656748,94.68136425820524,21,1353.3974311820853,341ca8cf5b4d80eb21c882fed989ee839ad2294a4bd3a5d43e79e64089161975
156,Georgetown,Li & Valame,1163.4672407430917,142.4783670930734,7,1448.4239749292385,ecbd5dcaef843de0363716231bea434c26abc2ac89f99e06659f7395d8015ef6
157,Northwestern,Arceo & Kung,1159.5890526685196,74.18920704075798,47,1307.9674667500356,150ded02955f9b40484e66054e60701f7436a72056ae9accc5bb6bd65bc2fb21
